 time                v(agudos)           v(entrada)          v(graves)           v(medio_alto)       v(medios)           v(pre)              v(salida)          
 0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00 
 1.000000000000e-07  1.575482970793e-03  6.283184893763e-04  2.948085574550e-07  1.579968686201e-03  3.940461602792e-06  1.580312225769e-03 -1.579711922106e-03 
 1.084010469878e-07  1.707804837224e-03  6.811038130560e-04  3.216562177166e-07  1.712699049676e-03  4.299305878419e-06  1.713074978738e-03 -1.712418949644e-03 
 1.252031409635e-07  1.972378217033e-03  7.866744545750e-04  3.795127825335e-07  1.978152704169e-03  5.072589751798e-06  1.978600469783e-03 -1.977822408278e-03 
 1.588073289149e-07  2.501103101167e-03  9.978157101337e-04  5.201925927789e-07  2.509017603188e-03  6.952571583341e-06  2.509651382866e-03 -2.508565831080e-03 
 2.260157048177e-07  3.556867526640e-03  1.420098078388e-03  9.014110827765e-07  3.570577699520e-03  1.204461418070e-05  3.571752849894e-03 -3.569799272707e-03 
 3.604324566233e-07  5.661672228598e-03  2.264661979888e-03  2.063220635229e-06  5.693018603779e-03  2.754441878849e-05  5.695953683698e-03 -5.691257102993e-03 
 6.292659602344e-07  9.844522166532e-03  3.953784334384e-03  5.983825424494e-06  9.935179397871e-03  7.970650028710e-05  9.944341647042e-03 -9.930172771552e-03 
 1.166932967457e-06  1.810427075907e-02  7.331990381706e-03  2.020891924559e-05  1.840858610740e-02  2.678831104959e-04  1.844102033556e-02 -1.839228921965e-02 
 2.242266981901e-06  3.420849197573e-02  1.408811289097e-02  7.416182982922e-05  3.531149388436e-02  9.733581017599e-04  3.543364936377e-02 -3.525587088384e-02 
 4.392935010790e-06  6.482153759862e-02  2.759812013383e-02  2.838105060050e-04  6.893972530088e-02  3.651914780221e-03  6.941327908498e-02 -6.875698785689e-02 
 8.694271068567e-06  1.201540209731e-01  5.460055039813e-02  1.107846988589e-03  1.354702850222e-01  1.370996375590e-02  1.373283116700e-01 -1.349712918325e-01 
 1.729694318412e-05  2.106223725132e-01  1.084660833979e-01  4.355623681477e-03  2.655053246417e-01  4.998334546690e-02  2.728079478402e-01 -2.649602818204e-01 
 2.729694318412e-05  2.881719165598e-01  1.706721152582e-01  1.076441624355e-02  4.112695523654e-01  1.140805884352e-01  4.292651496362e-01 -4.130152691774e-01 
