 time                v(agudos)           v(entrada)          v(graves)           v(medio_alto)       v(medios)           v(pre)              v(salida)          
 0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00 
 1.000000000000e-07  1.575518884010e-03  6.283184893763e-04  2.978644320084e-07  1.579972298032e-03  3.962208412922e-06  1.580312225769e-03 -1.579772637765e-03 
 1.084010578197e-07  1.707844191515e-03  6.811038811142e-04  3.249904224067e-07  1.712703161274e-03  4.323033568454e-06  1.713075149837e-03 -1.712485365564e-03 
 1.252031734590e-07  1.972424959604e-03  7.866746587497e-04  3.834467907082e-07  1.978157867143e-03  5.100586062845e-06  1.978600983307e-03 -1.977901080853e-03 
 1.588074047376e-07  2.501167654373e-03  9.978161865412e-04  5.255850519248e-07  2.509025173822e-03  6.990944761753e-06  2.509652581239e-03 -2.508674149490e-03 
 2.260158672948e-07  3.556979804216e-03  1.420099099261e-03  9.107556561139e-07  3.570591308289e-03  1.211108440735e-05  3.571755417397e-03 -3.569987364330e-03 
 3.604327924092e-07  5.661928115842e-03  2.264664089689e-03  2.084608976993e-06  5.693049176443e-03  2.769633518795e-05  5.695958990145e-03 -5.691686293262e-03 
 6.292666426381e-07  9.845255877735e-03  3.953788622020e-03  6.045848990333e-06  9.935263427906e-03  8.014535345069e-05  9.944352431376e-03 -9.931407354547e-03 
 1.166934343096e-06  1.810670646591e-02  7.331999024871e-03  2.041832004451e-05  1.840885500496e-02  2.693523929338e-04  1.844104207430e-02 -1.839640359328e-02 
 2.242269744012e-06  3.421719204198e-02  1.408813024410e-02  7.492973767853e-05  3.531244298210e-02  9.786548837383e-04  3.543369300860e-02 -3.527063558085e-02 
 4.392940545843e-06  6.485326230904e-02  2.759815489835e-02  2.867449967994e-04  6.894326604379e-02  3.671477938042e-03  6.941336652380e-02 -6.881120999904e-02 
 8.694282149505e-06  1.202670078492e-01  5.460061991786e-02  1.119268678167e-03  1.354838484549e-01  1.378118195862e-02  1.373284865040e-01 -1.351669178183e-01 
 1.729696535683e-05  2.109951720049e-01  1.084662218912e-01  4.400270810038e-03  2.655576037942e-01  5.022816516430e-02  2.728082961694e-01 -2.656225454891e-01 
 2.729696535683e-05  2.889363595750e-01  1.706722525294e-01  1.087405936960e-02  4.113963929703e-01  1.146056422585e-01  4.292654948658e-01 -4.144144035455e-01 
 3.729696535683e-05  3.442508599255e-01  2.322047177596e-01  2.013312819327e-02  5.510561595438e-01  1.964877939608e-01  5.840285787708e-01 -5.608695386015e-01 
 4.729696535683e-05  3.825543083367e-01  2.928207770530e-01  3.208812186131e-02  6.841266341507e-01  2.905397690483e-01  7.364867686410e-01 -7.051793785288e-01 
 5.729696535683e-05  4.079454574967e-01  3.522812065165e-01  4.664003162179e-02  8.102191943908e-01  3.925288523897e-01  8.860383817810e-01 -8.471109530643e-01 
 6.729696535683e-05  4.234200904029e-01  4.103513429999e-01  6.368056775682e-02  9.289685327094e-01  4.990833635093e-01  1.032093206188e+00 -9.861800769487e-01 
 7.729696535683e-05  4.311725095613e-01  4.668020102041e-01  8.309256880602e-02  1.040034229285e+00  6.075057581766e-01  1.174074830255e+00 -1.121766349478e+00 
 8.729696535683e-05  4.328151194495e-01  5.214104231356e-01  1.047504462331e-01  1.143102221424e+00  7.156278063776e-01  1.311422917293e+00 -1.253188359307e+00 
 9.729696535683e-05  4.295383334975e-01  5.739610673367e-01  1.285206627508e-01  1.237886166666e+00  8.216984285973e-01  1.443595417193e+00 -1.379751905838e+00 
 1.072969653568e-04  4.222270013997e-01  6.242465494230e-01  1.542622421111e-01  1.324128690874e+00  9.242968697799e-01  1.570070705609e+00 -1.500780110170e+00 
 1.172969653568e-04  4.115451538237e-01  6.720684155698e-01  1.818273088138e-01  1.401602519443e+00  1.022265529842e+00  1.690349642071e+00 -1.615631529953e+00 
 1.272969653568e-04  3.979976621340e-01  7.172379347191e-01  2.110616552527e-01  1.470111486269e+00  1.114658031845e+00  1.803957541008e+00 -1.723710454390e+00 
 1.372969653568e-04  3.819750711555e-01  7.595768434150e-01  2.418053340225e-01  1.529491415713e+00  1.200699098641e+00  1.910446043476e+00 -1.824472205930e+00 
 1.472969653568e-04  3.637861713069e-01  7.989180493276e-01  2.738932736102e-01  1.579610874876e+00  1.279753575567e+00  2.009394888184e+00 -1.917425350783e+00 
 1.572969653568e-04  3.436816295143e-01  8.351062906905e-01  3.071559139644e-01  1.620371795027e+00  1.351302516647e+00  2.100413569366e+00 -2.002132051597e+00 
 1.672969653568e-04  3.218711023219e-01  8.679987490477e-01  3.414198605460e-01  1.651709957514e+00  1.414924742654e+00  2.183142877766e+00 -2.078207392692e+00 
 1.772969653568e-04  2.985355972196e-01  8.974656128934e-01  3.765085540945e-01  1.673595339991e+00  1.470282604918e+00  2.257256318699e+00 -2.145318174959e+00 
 1.872969653568e-04  2.738363639801e-01  9.233905899780e-01  4.122429519193e-01  1.686032329453e+00  1.517110995250e+00  2.322461400065e+00 -2.203181498423e+00 
 1.972969653568e-04  2.479212580656e-01  9.456713662610e-01  4.484422206297e-01  1.689059794880e+00  1.555208836682e+00  2.378500787425e+00 -2.251563309124e+00 
 2.072969653568e-04  2.209292541083e-01  9.642200096975e-01  4.849244356155e-01  1.682751019252e+00  1.584432479925e+00  2.425153318560e+00 -2.290277008541e+00 
 2.172969653568e-04  1.929936130182e-01  9.789633172660e-01  5.215072850115e-01  1.667213495588e+00  1.604690541513e+00  2.462234877748e+00 -2.319182162814e+00 
 2.272969653568e-04  1.642440597352e-01  9.898431038670e-01  5.580087758135e-01  1.642588583287e+00  1.615939834388e+00  2.489599120687e+00 -2.338183317203e+00 
 2.372969653568e-04  1.348082436016e-01  9.968164319533e-01  5.942479383666e-01  1.609051029896e+00  1.618182114093e+00  2.507138053188e+00 -2.347228907145e+00 
 2.472969653568e-04  1.048126703681e-01  9.998557809848e-01  6.300455273595e-01  1.566808358999e+00  1.611461431952e+00  2.514782457380e+00 -2.346310244439e+00 
 2.572969653568e-04  7.438324794930e-02  9.989491560395e-01  6.652247176971e-01  1.516100122361e+00  1.595861925976e+00  2.512502163998e+00 -2.335460549781e+00 
 2.672969653568e-04  4.364555250504e-02  9.941001351517e-01  6.996117874514e-01  1.457197030773e+00  1.571505925152e+00  2.500306172413e+00 -2.314754006093e+00 
 2.772969653568e-04  1.272488744144e-02  9.853278551916e-01  7.330367927207e-01  1.390399950556e+00  1.538552267477e+00  2.478242614656e+00 -2.284304810420e+00 
 2.872969653568e-04 -1.825380675291e-02  9.726669363406e-01  7.653342264239e-01  1.316038787831e+00  1.497194757452e+00  2.446398565429e+00 -2.244266200058e+00 
 2.972969653568e-04 -4.916615048569e-02  9.561673454611e-01  7.963436577702e-01  1.234471250791e+00  1.447660704842e+00  2.404899699031e+00 -2.194829432809e+00 
 3.072969653568e-04 -7.988860283513e-02  9.358941989003e-01  8.259103550809e-01  1.146081499057e+00  1.390209500445e+00  2.353909791796e+00 -2.136222707800e+00 
 3.172969653568e-04 -1.102987902705e-01  9.119275055059e-01  8.538858850952e-01  1.051278692670e+00  1.325131198857e+00  2.293630078319e+00 -2.068710018842e+00 
 3.272969653568e-04 -1.402758783079e-01  8.843618508673e-01  8.801286866656e-01  9.504954341101e-01  1.252745078178e+00  2.224298454705e+00 -1.992589916176e+00 
 3.372969653568e-04 -1.697009638592e-01  8.533060240298e-01  9.045046184910e-01  8.441861202009e-01  1.173398168059e+00  2.146188541199e+00 -1.908194189914e+00 
 3.472969653568e-04 -1.984574843955e-01  8.188825881539e-01  9.268874782138e-01  7.328252042644e-01  1.087463723263e+00  2.059608602081e+00 -1.815886453535e+00 
 3.572969653568e-04 -2.264316342771e-01  7.812273968145e-01  9.471594893839e-01  6.169053779449e-01  9.953396451892e-01  1.964900328661e+00 -1.716060636054e+00 
 3.672969653568e-04 -2.535127812880e-01  7.404890578486e-01  9.652117559453e-01  4.969356790534e-01  8.974468400702e-01  1.862437491422e+00 -1.609139378170e+00 
 3.772969653568e-04 -2.795938805211e-01  6.968283468687e-01  9.809446816798e-01  3.734395338688e-01  7.942275122041e-01  1.752624464221e+00 -1.495572331073e+00 
 3.872969653568e-04 -3.045718789217e-01  6.504175727543e-01  9.942683528643e-01  2.469527407375e-01  6.861433975864e-01  1.635894629057e+00 -1.375834368192e+00 
 3.972969653568e-04 -3.283481108374e-01  6.014398976278e-01  1.005102884024e+00  1.180214028718e-01  5.736739336280e-01  1.512708665105e+00 -1.250423705120e+00 
